ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
2127,522500.0,772,,1,1.0,46,5
2128,533000.0,1991,,2,2.5,3,42
1510,170000.0,800,,1,1.0,50,47
2127,620000.0,1445,,2,2.0,138,25
1913,240000.0,831,,2,1.0,50,215
2188,320000.0,1054,,2,2.0,5,36
1970,265000.0,1042,,2,1.0,88,19
1960,315000.0,488,488.0,1,1.0,78,64
1569,242000.0,774,,1,1.0,41,5
1510,210000.0,2515,,2,2.5,29,16
1718,212500.0,1024,,2,1.0,104,40
2118,1988500.0,640,,1,1.0,118,4
33442,138000.0,1006,,2,1.0,18,76
1754,255000.0,1237,1237.0,1,1.0,108,15
1702,145000.0,1134,,3,2.0,31,57
1519,213000.0,692,,1,1.0,51,68
2446,810000.0,1715,5157.0,3,2.0,98,20
1519,409900.0,1900,,3,2.5,14,42
2127,1199000.0,1172,,1,2.0,19,39
1863,117050.0,4000,,2,2.5,21,50
1923,332900.0,917,,2,1.0,92,70
1747,225000.0,1293,,2,1.5,20,46
1845,205000.0,1074,,2,1.0,137,61
2144,530000.0,1549,0.0,2,2.5,14,83
1923,248500.0,1525,,3,2.0,29,62
1524,96500.0,1123,,2,1.5,102,42
1718,264900.0,912,,2,1.5,27,85
2038,319000.0,1577,,2,2.0,11,101
2210,525000.0,1155,32199.0,2,2.0,2,14
2130,540000.0,1068,,2,1.5,31,17
1844,105000.0,1590,,2,2.5,11,49
2766,330000.0,335,,1,1.0,168,25
1760,187000.0,1038,19166.0,2,1.5,32,36
1960,287500.0,524,,1,1.0,45,85
2139,603000.0,1280,,2,1.5,29,27
2045,289000.0,814,,1,1.0,118,132
1830,304900.0,1520,,2,1.5,29,88
2215,1000000.0,453,0.0,1,1.0,58,54
2116,2100000.0,770,,1,1.0,48,51
2118,1400000.0,1878,,2,2.5,14,69
1520,180000.0,1641,,3,2.0,12,64
2446,607500.0,1600,,2,1.5,12,72
1970,355000.0,1731,,3,2.5,15,56
2125,465000.0,1040,,2,1.5,33,57
2129,750000.0,1469,,3,1.5,168,55
1915,226000.0,1416,0.0,2,2.5,145,36
2171,786500.0,984,,1,1.0,39,39
1824,279900.0,1158,,2,1.5,29,65
2111,4225000.0,855,,2,1.0,31,64
1880,202000.0,1682,,2,1.5,38,21
2465,472500.0,1039,,2,1.5,35,8
2453,295000.0,1752,0.03,2,2.5,5,100
2155,410000.0,663,,1,1.0,47,220
2341,258500.0,861,,2,1.0,30,87
2482,445000.0,717,,1,1.0,113,86
1890,210000.0,2138,,3,2.5,35,30
2127,465000.0,1726,,2,2.5,32,50
2114,825000.0,1315,1315.0,2,1.0,118,83
2111,600000.0,1483,,3,2.0,9,33
1826,174900.0,1567,,2,2.5,33,64
1905,389000.0,973,,2,1.0,29,45
1851,120000.0,1531,,2,2.0,43,17
2131,325000.0,1308,,2,1.5,31,79
2050,540000.0,1294,,2,1.5,50,78
2760,162000.0,815,,2,1.0,50,23
2631,252200.0,949,,2,2.0,48,27
2127,387000.0,1051,4356000.0,2,1.0,33,55
2210,1900000.0,715,54809.0,1,1.0,52,27
2131,350000.0,1100,4696.0,3,1.5,118,27
2035,180000.0,1099,10127.0,2,1.0,103,12
2127,595000.0,1384,,2,1.5,27,66
1852,151400.0,922,,2,1.5,48,63
2445,825000.0,704,0.0,2,1.0,63,31
2135,299000.0,825,825.0,2,1.0,83,36
1604,240000.0,428,428.0,0,1.0,12,37
1915,225000.0,910,,2,1.5,118,47
2140,700000.0,1546,588060.0,2,1.5,3,14
1450,110000.0,800,,1,1.0,30,16
2478,690000.0,2200,,2,2.5,31,69
2493,4291402.0,1003,1003.0,2,2.0,98,23
1960,332900.0,1146,,3,2.0,98,21
2127,549900.0,2375,,3,2.5,3,84
2138,925000.0,1208,,2,1.5,108,19
2136,140000.0,1948,,3,2.5,37,54
2116,3400000.0,777,,2,1.0,88,23
2019,240000.0,915,,2,1.0,50,6
2125,361000.0,1225,331492.0,2,2.0,16,30
2492,655000.0,839,839.0,2,1.0,118,15
2067,142000.0,1450,,2,1.0,31,12
2130,256000.0,1374,,2,2.5,32,18
2128,470000.0,1885,,2,2.5,43,84
1824,139000.0,2588,2508.0,4,3.0,17,58
1701,185000.0,1267,,2,1.0,118,62
2155,485000.0,894,,1,1.0,15,44
1748,669198.0,1410,,2,2.0,10,15
1930,779500.0,780,,1,1.0,118,110
1752,111000.0,1591,1591.0,2,2.0,119,27
1604,152000.0,1360,,2,1.5,38,79
1524,295850.0,2209,,3,2.5,17,8
2093,352000.0,2015,,3,2.0,20,15
2149,225000.0,920,,2,2.0,128,74
2452,529200.0,1182,,2,2.0,128,74
2130,526000.0,1875,,3,3.0,168,7
1749,189900.0,1692,,3,1.0,103,14
1915,337500.0,960,,1,1.0,36,26
2129,939000.0,1863,,4,2.0,118,167
1915,260000.0,1393,1393.0,3,2.0,5,19
2138,880000.0,683,683.0,1,1.0,31,39
1721,298500.0,680,0.0,1,1.0,148,51
1826,205000.0,1475,,3,2.5,3,119
2145,961000.0,640,1232748.0,1,1.0,19,40
2118,1515000.0,1015,,2,2.0,133,7
1760,260000.0,2041,,3,2.5,116,50
2115,685000.0,968,,2,1.0,47,23
2118,1275000.0,2348,,2,2.5,168,23
2143,697500.0,1225,,2,1.5,158,12
2478,489000.0,1300,1300.0,2,2.0,119,16
2116,1250000.0,1290,,2,2.5,30,36
2116,2342500.0,1750,,2,2.5,17,5
1826,220000.0,1462,16268.0,3,1.5,27,50
1537,187700.0,1345,1345.0,3,2.0,11,13
1742,430000.0,1621,,2,2.5,11,5
2129,505000.0,1031,,2,1.0,118,46
2110,5350000.0,861,861.0,3,1.5,108,34
2129,590000.0,805,805.0,2,1.0,119,16
1545,270000.0,2157,0.0,2,3.0,13,53
1524,306656.0,578,,1,1.0,55,84
1915,223000.0,3031,,4,2.0,128,84
1879,143000.0,1307,,2,1.0,98,26
1760,550000.0,1926,,3,1.5,31,13
2370,95000.0,1909,,2,2.5,0,7
3079,494900.0,1828,13503.6,3,2.0,118,15
2180,435000.0,992,,2,1.5,34,42
2155,250000.0,860,,2,1.0,45,62
2115,527220.0,2367,,3,3.5,21,17
2176,270000.0,932,932.0,1,1.0,16,8
2474,492000.0,634,,1,1.0,52,8
2130,407550.0,2375,,3,2.5,13,41
2129,750000.0,787,787.0,2,1.0,119,15
2152,339600.0,864,,2,1.0,37,63
1830,155600.0,407,11641.0,1,1.0,125,63
1721,275000.0,711,711.0,1,1.0,119,65
2111,1735000.0,1004,,2,2.0,102,36
2150,242000.0,2234,,3,3.5,168,19
1754,415000.0,1946,,2,2.5,19,59
2127,450000.0,891,7130.0,2,1.0,78,7
1880,167000.0,988,,2,1.0,43,6
1757,320600.0,1802,,2,2.0,5,88
2129,579000.0,1644,26710.0,3,1.5,116,40
2116,985000.0,778,,1,1.0,31,5
2649,170000.0,537,,1,1.0,118,8
1720,176500.0,2212,,2,2.5,11,7
2155,325000.0,760,760.0,1,1.0,88,5
2127,688000.0,370,,1,1.0,118,32
1970,331000.0,2021,,2,2.5,2,38
1821,135000.0,2358,,2,2.5,10,53
2143,750000.0,965,,2,2.0,4,19
1826,75000.0,1150,,2,2.0,9,13
1604,239900.0,2108,8417.0,3,1.5,138,169
1520,158000.0,1309,,2,2.0,34,40
2119,760000.0,570,,0,1.0,66,20
1913,249900.0,1500,,2,2.0,34,75
2155,557000.0,936,,2,1.5,37,81
2131,450000.0,2300,,3,2.5,15,53
1826,192000.0,1246,0.0,2,2.0,203,56
1701,219900.0,1484,,3,2.5,12,330
2171,222000.0,1338,,2,2.0,19,19
2054,240000.0,1147,,2,2.0,1813,38
2093,375000.0,1700,,2,1.5,33,75
1590,235000.0,1050,,2,2.0,3,82
2368,301000.0,1150,,2,1.5,31,28
2118,2075000.0,1369,0.0,2,1.0,32,34
2135,425000.0,1340,,2,2.0,36,5
1970,169900.0,1860,9673.0,3,1.5,71,8
2375,230000.0,1135,,2,1.0,98,23
2052,389000.0,910,,2,1.0,118,19
2152,180000.0,1500,,3,2.5,5,55
1886,445000.0,1508,,2,1.5,31,17
1830,205000.0,1700,,2,2.0,30,198
1876,255000.0,537,,1,1.0,37,62
2766,310000.0,884,,2,1.0,78,60
1844,592891.0,2611,0.0,2,2.5,17,31
1749,215000.0,910,,2,1.0,39,25
1701,366000.0,1252,,3,1.5,34,58
2128,418500.0,1319,,2,2.5,24,510
1501,194000.0,744,,2,1.0,98,64
1841,84900.0,1179,1179.0,2,2.0,14,28
2134,687000.0,1149,,3,1.5,32,53
1960,291000.0,1968,,2,2.5,15,10
1852,134000.0,1750,,3,2.5,5,16
2472,350000.0,1087,1087.0,2,2.0,97,79
1970,274900.0,685,,2,1.0,47,15
